baseline,samples (↑),fx_abs (↓),fy_abs (↓),fx_pct (↓),fy_pct (↓),fx_rmse (↓),cx_abs (↓),cy_abs (↓),cx_pct (↓),cy_pct (↓),c_rmse (↓),principal_dist (↓),principal_pct (↓),principal_rmse (↓),principal_pct_rmse (↓),principal_median (↓),principal_pct_median (↓),reproj_mean (↓),reproj_median (↓)
random,2226.000000,548.855766,538.843513,0.515098,0.505776,619.792850,328.627015,312.297643,0.634415,0.754342,348.171741,473.996560,1.029285,492.389198,1.067450,486.847307,1.055093,310.037588,296.243276
zeros,2226.000000,1065.535881,1065.329875,1.000000,1.000000,1065.533164,590.215191,519.558353,1.139412,1.254972,556.142029,786.461312,1.695368,786.503600,1.695521,786.828827,1.688905,360.752227,360.752227
center,2226.000000,806.535881,806.329875,0.756884,0.756837,806.565368,331.215191,312.558353,0.639412,0.754972,322.249348,455.650316,0.989873,455.729399,0.990155,455.504969,0.982312,171.867528,171.446666
